sample_id,crop,source_class,label,class_name,split,source_dataset,source_url
H_001_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_002_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_003_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_004_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_005_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_006_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_007_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_008_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_009_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_010_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_011_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_012_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_013_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_014_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_015_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_016_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_017_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_018_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_019_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_020_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_021_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_022_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
H_023_TR,Tomato,Tomato___healthy,0,Healthy,train,mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage
